Date,Open,High,Low,Close,Adj Close,Volume
31/12/2020,17,17,16.75,16.9,16.9,14.969.830
30/12/2020,17,17.25,16.8,16.8,16.8,37.054.500
29/12/2020,16.75,16.9,16.6,16.7,16.7,40.606.710
28/12/2020,17.05,17.1,16.55,16.75,16.75,23.689.440
25/12/2020,16.5,16.95,16.25,16.95,16.95,20.824.680
24/12/2020,16.8,16.85,15.8,16.5,16.5,29.570.800
23/12/2020,17.2,17.3,16.7,16.7,16.7,26.111.720
22/12/2020,17,17.35,16.9,17.15,17.15,34.481.030
21/12/2020,17.2,17.3,16.9,17,17,30.779.000
18/12/2020,16.8,17.15,16.65,17,17,25.970.670
17/12/2020,16.5,16.95,16.4,16.6,16.6,23.515.290
16/12/2020,16.3,16.8,16.25,16.6,16.6,23.929.920
15/12/2020,15.85,16.05,15.8,15.95,15.95,17.651.510
14/12/2020,15.95,16.1,15.8,15.95,15.95,15.678.170
11/12/2020,15.7,15.9,15.5,15.8,15.8,16.443.500
10/12/2020,15.95,16.05,15.45,15.55,15.55,21.848.500
9/12/2020,15.9,16.2,15.9,15.9,15.9,19.097.260
8/12/2020,15.65,15.9,15.5,15.85,15.85,19.849.710
7/12/2020,15.6,15.75,15.55,15.55,15.55,14.994.850
4/12/2020,15.7,16.1,15.5,15.6,15.6,24.834.030
3/12/2020,15.55,15.9,15.45,15.65,15.65,20.877.740
2/12/2020,15.45,15.8,15.15,15.4,15.4,21.124.570
1/12/2020,14.45,15.5,14.4,15.45,15.45,37.900.250
30/11/2020,14.55,15,14.5,14.65,14.65,18.882.960
27/11/2020,14.6,14.6,14.35,14.5,14.5,11.518.070
26/11/2020,14.35,14.65,14.35,14.5,14.5,22.060.890
25/11/2020,14.55,14.6,14.35,14.35,14.35,12.055.730
24/11/2020,14.6,14.65,14.2,14.5,14.5,16.805.930
23/11/2020,14.25,14.7,14.05,14.6,14.6,27.268.530
20/11/2020,14.25,14.25,14.05,14.15,14.15,9.539.770
19/11/2020,14.2,14.4,14.05,14.2,14.2,12.623.080
18/11/2020,13.85,14.4,13.8,14.2,14.2,22.974.320
17/11/2020,13.7,13.9,13.6,13.85,13.85,9.076.100
16/11/2020,14.05,14.1,13.65,13.65,13.65,12.294.300
13/11/2020,13.7,13.95,13.7,13.9,13.9,15.076.240
12/11/2020,13.6,13.75,13.6,13.7,13.7,6.757.380
11/11/2020,13.7,13.7,13.45,13.6,13.6,7.954.210
10/11/2020,13.95,14,13.6,13.6,13.6,9.473.760
9/11/2020,13.5,13.7,13.4,13.7,13.7,7.874.430
6/11/2020,13.5,13.5,13.25,13.35,13.35,6.207.220
5/11/2020,13.65,13.7,13.35,13.35,13.35,8.295.550
4/11/2020,13.7,13.9,13.5,13.65,13.65,9.734.960
3/11/2020,13.5,13.7,13.45,13.6,13.6,12.021.500
2/11/2020,13.4,13.45,13.25,13.45,13.45,5.463.810
30/10/2020,13.5,13.55,13.05,13.3,13.3,8.184.700
29/10/2020,13,13.5,13,13.5,13.5,13.046.030
28/10/2020,13.3,13.65,13.1,13.1,13.1,22.628.960
27/10/2020,14.1,14.2,13.3,13.3,13.3,37.138.550
26/10/2020,14.5,14.65,14.1,14.1,14.1,27.021.200
23/10/2020,14.8,14.8,14.5,14.55,14.55,35.121.136
22/10/2020,14.35,14.7,14.2,14.6,14.6,18.352.400
21/10/2020,14.35,14.75,14.3,14.4,14.4,25.828.950
20/10/2020,14,14.35,13.95,14.2,14.2,18.098.150
19/10/2020,13.8,14.3,13.75,14.1,14.1,20.837.610
16/10/2020,13.85,13.95,13.7,13.75,13.75,13.048.220
15/10/2020,13.6,14,13.45,13.85,13.85,20.799.860
14/10/2020,13.5,13.75,13.35,13.5,13.5,12.364.650
13/10/2020,13.3,13.6,13.2,13.45,13.45,13.780.050
12/10/2020,13.7,13.8,13.3,13.3,13.3,17.962.060
9/10/2020,13.6,13.8,13.45,13.55,13.55,12.474.800
8/10/2020,13.8,13.85,13.45,13.55,13.55,21.328.780
7/10/2020,14.05,14.3,13.7,13.7,13.7,19.465.920
6/10/2020,13.75,14.4,13.7,14.2,14.2,27.112.100
5/10/2020,13.65,13.8,13.4,13.7,13.7,22.824.020
2/10/2020,13.75,13.9,13.15,13.45,13.45,23.206.500
1/10/2020,14,14.2,13.65,13.75,13.75,13.285.440
30/09/2020,13.3,13.9,12.95,13.8,13.8,28.314.430
29/09/2020,13.8,13.95,13.3,13.3,13.3,23.261.400
28/09/2020,13.7,14.05,13.6,13.8,13.8,28.998.470
25/09/2020,12.45,13.3,12.4,13.3,13.3,39.321.600
24/09/2020,12.6,12.7,12.4,12.45,12.45,18.198.750
23/09/2020,12.7,13.25,12.5,12.65,12.65,24.827.380
22/09/2020,11.75,12.55,11.65,12.55,12.55,46.257.880
21/09/2020,11.8,12.05,11.75,11.75,11.75,17.853.730
18/09/2020,11.45,11.65,11.45,11.65,11.65,8.721.320
17/09/2020,11.55,11.7,11.45,11.45,11.45,11.363.380
16/09/2020,11.65,11.7,11.55,11.55,11.55,10.179.630
15/09/2020,11.35,11.8,11.25,11.6,11.6,24.122.170
14/09/2020,11.2,11.35,11.2,11.3,11.3,6.799.070
11/9/2020,11.15,11.25,11.1,11.15,11.15,5.393.090
10/9/2020,11.35,11.4,11.2,11.2,11.2,5.248.510
9/9/2020,11.15,11.3,11.05,11.3,11.3,9.175.270
8/9/2020,11.25,11.25,11.1,11.25,11.25,6.011.590
7/9/2020,11.4,11.4,11.2,11.2,11.2,6.937.040
4/9/2020,11.25,11.35,11.2,11.3,11.3,9.881.990
3/9/2020,11.4,11.45,11.3,11.4,11.4,11.143.030
1/9/2020,11.2,11.35,11.15,11.3,11.3,4.772.030
31/08/2020,11.5,11.55,11.2,11.2,11.2,9.422.820
28/08/2020,11.4,11.45,11.3,11.35,11.35,10.087.760
27/08/2020,11.25,11.35,11.15,11.3,11.3,6.803.050
26/08/2020,11.25,11.3,11.1,11.2,11.2,10.738.740
25/08/2020,11.3,11.4,11.2,11.25,11.25,9.624.650
24/08/2020,11.1,11.4,11.1,11.3,11.3,16.893.830
21/08/2020,10.7,11.05,10.65,11.05,11.05,12.934.020
20/08/2020,10.75,10.85,10.65,10.65,10.65,6.059.540
19/08/2020,10.8,10.8,10.7,10.8,10.8,7.910.320
18/08/2020,10.65,10.8,10.6,10.75,10.75,6.894.200
17/08/2020,10.7,10.75,10.55,10.65,10.65,6.342.680
14/08/2020,10.85,10.85,10.65,10.7,10.7,9.392.610
13/08/2020,10.75,10.9,10.75,10.85,10.85,6.495.400
12/8/2020,10.65,10.8,10.6,10.75,10.75,8.772.530
11/8/2020,10.7,10.75,10.5,10.65,10.65,7.719.420
10/8/2020,10.55,10.8,10.55,10.6,10.6,11.949.300
7/8/2020,10.55,10.55,10.4,10.45,10.45,7.144.293
6/8/2020,10.6,10.7,10.5,10.5,10.5,5.678.190
5/8/2020,10.5,10.7,10.4,10.65,10.65,8.289.610
4/8/2020,10.5,10.5,10.35,10.5,10.5,6.786.090
3/8/2020,10.15,10.45,10.05,10.35,10.35,9.792.690
31/07/2020,9.9,10.25,9.9,10.1,10.1,5.740.090
30/07/2020,10.2,10.35,10.15,10.2,10.2,6.312.810
29/07/2020,10.25,10.35,9.95,10.15,10.15,14.831.390
28/07/2020,10.2,10.6,10.1,10.55,10.55,13.933.220
27/07/2020,10.4,10.65,10.15,10.15,10.15,27.014.460
24/07/2020,11.15,11.25,10.6,10.9,10.9,20.162.440
23/07/2020,11.35,11.4,11.1,11.25,11.25,8.264.440
22/07/2020,11.55,11.6,11.25,11.3,11.3,8.504.960
21/07/2020,11.45,11.6,11.4,11.5,11.5,7.047.320
20/07/2020,11.65,11.7,11.45,11.45,11.45,8.339.560
17/07/2020,11.6,11.75,11.5,11.6,11.6,9.198.320
16/07/2020,11.55,11.6,11.45,11.6,11.6,5.104.280
15/07/2020,11.65,11.7,11.55,11.55,11.55,5.706.429
14/07/2020,11.4,11.65,11.35,11.55,11.55,7.010.550
13/07/2020,11.65,11.7,11.45,11.45,11.45,6.095.670
10/7/2020,11.7,11.8,11.5,11.55,11.55,8.382.730
9/7/2020,11.7,11.85,11.5,11.8,11.8,14.045.940
8/7/2020,11.4,11.7,11.35,11.5,11.5,9.193.690
7/7/2020,11.6,11.7,11.4,11.45,11.45,9.044.970
6/7/2020,11.05,11.6,11.05,11.55,11.55,16.285.280
3/7/2020,11.15,11.2,11,11,11,3.885.370
2/7/2020,11.2,11.3,11,11.05,11.05,4.903.810
1/7/2020,10.8,11.35,10.75,11.2,11.2,9.138.780
30/06/2020,11.1,11.2,10.6,10.75,10.75,10.862.380
29/06/2020,11.3,11.3,10.9,10.95,10.95,13.179.476
26/06/2020,11.6,11.65,11.2,11.3,11.3,6.481.490
25/06/2020,11.15,11.5,10.95,11.45,11.45,10.662.480
24/06/2020,11.6,11.65,11.2,11.2,11.2,11.843.150
23/06/2020,11.65,11.8,11.4,11.55,11.55,12.607.230
22/06/2020,12,12,11.65,11.7,11.7,10.820.120
19/06/2020,11.55,11.95,11.4,11.9,11.9,15.397.142
18/06/2020,11.4,11.75,11.35,11.4,11.4,13.243.590
17/06/2020,11.85,11.95,11.55,11.6,11.6,15.663.170
16/06/2020,12.5,12.5,11.9,11.9,11.9,18.761.140
15/06/2020,12.1,12.6,11.75,12.05,12.05,31.293.310
12/6/2020,11.2,11.8,11,11.8,11.8,31.900.570
11/6/2020,12.15,12.3,11.05,11.05,11.05,38.094.150
10/6/2020,10.75,11.5,10.6,11.5,11.5,30.775.990
9/6/2020,10.75,10.9,10.65,10.75,10.75,14.170.310
8/6/2020,10.7,10.85,10.65,10.7,10.7,17.244.920
5/6/2020,10.7,10.75,10.45,10.55,10.55,16.799.980
4/6/2020,10.75,10.9,10.6,10.6,10.6,13.972.710
3/6/2020,10.6,10.7,10.5,10.65,10.65,8.714.660
2/6/2020,10.85,10.9,10.5,10.5,10.5,13.896.530
1/6/2020,10.4,10.75,10.35,10.75,10.75,18.020.090
29/05/2020,10.2,10.45,10.2,10.3,10.3,6.856.490
28/05/2020,10.1,10.6,10.05,10.3,10.3,16.769.210
27/05/2020,10.45,10.55,10,10.1,10.1,15.368.550
26/05/2020,10.3,10.45,10.3,10.4,10.4,9.396.730
25/05/2020,10.25,10.4,10.1,10.25,10.25,9.448.390
22/05/2020,10.3,10.6,10.2,10.2,10.2,14.900.140
21/05/2020,10.5,10.55,10.25,10.5,10.5,10.196.270
20/05/2020,9.9,10.55,9.86,10.4,10.4,24.591.810
19/05/2020,9.92,10.15,9.86,9.9,9.9,15.543.660
18/05/2020,9.78,9.85,9.68,9.73,9.73,10.066.070
15/05/2020,10.2,10.2,9.8,9.8,9.8,9.211.120
14/05/2020,9.88,10.3,9.79,10.05,10.05,12.577.730
13/05/2020,9.7,10.15,9.55,9.96,9.96,20.122.960
12/5/2020,9.69,9.75,9.46,9.7,9.7,11.311.610
11/5/2020,9.67,9.75,9.54,9.69,9.69,10.595.020
8/5/2020,9.4,9.77,9.4,9.52,9.52,15.772.410
7/5/2020,9.18,9.38,9.17,9.34,9.34,12.175.430
6/5/2020,9,9.14,8.93,9.14,9.14,8.419.490
5/5/2020,8.98,9.09,8.93,8.97,8.97,5.123.310
4/5/2020,9.1,9.1,8.98,8.98,8.98,4.452.500
29/04/2020,9,9.25,9,9.1,9.1,3.844.890
28/04/2020,9.08,9.12,8.94,8.98,8.98,7.077.710
27/04/2020,9.18,9.23,8.99,8.99,8.99,8.149.440
24/04/2020,9.15,9.2,9.04,9.1,9.1,4.845.810
23/04/2020,9.35,9.38,9.15,9.15,9.15,5.414.960
22/04/2020,8.73,9.29,8.73,9.17,9.17,8.168.410
21/04/2020,9.35,9.45,8.97,8.99,8.99,16.193.310
20/04/2020,9.7,9.85,9.54,9.55,9.55,11.284.390
17/04/2020,9.9,9.94,9.72,9.73,9.73,8.375.490
16/04/2020,9.5,9.95,9.5,9.72,9.72,7.634.020
15/04/2020,9.2,9.8,9.18,9.7,9.7,14.857.170
14/04/2020,9.1,9.16,8.94,9.16,9.16,8.530.630
13/04/2020,9.01,9.24,9.01,9.04,9.04,7.684.370
10/4/2020,9.15,9.23,8.95,9.01,9.01,10.709.980
9/4/2020,9.4,9.49,9.18,9.19,9.19,9.821.780
8/4/2020,9,9.29,8.8,9.28,9.28,8.977.230
7/4/2020,9.4,9.4,9.01,9.18,9.18,17.284.520
6/4/2020,8.9,8.93,8.61,8.93,8.93,12.901.110
3/4/2020,7.99,8.35,7.9,8.35,8.35,10.904.810
1/4/2020,7.2,7.81,7.2,7.81,7.81,8.807.420
31/03/2020,7.86,7.86,7.12,7.3,7.3,12.220.160
30/03/2020,7.7,7.99,7.64,7.64,7.64,16.452.350
27/03/2020,8.75,8.75,8.21,8.21,8.21,11.651.840
26/03/2020,9.11,9.11,8.7,8.7,8.7,7.221.630
25/03/2020,9.15,9.26,8.9,9.11,9.11,9.894.240
24/03/2020,9.12,9.17,8.8,8.8,8.8,7.815.200
23/03/2020,9.3,9.5,9.12,9.12,9.12,10.633.200
20/03/2020,9.81,9.92,9.74,9.8,9.8,4.889.230
19/03/2020,9.9,9.96,9.6,9.75,9.75,7.516.500
18/03/2020,10.4,10.4,10,10,10,8.306.390
17/03/2020,9.9,10.2,9.56,10.2,10.2,8.706.390
16/03/2020,10.4,10.5,9.8,9.99,9.99,9.251.020
13/03/2020,9.3,10.55,9.28,10.4,10.4,16.477.900
12/3/2020,10,10.25,9.93,9.95,9.95,21.457.410
11/3/2020,11.45,11.5,10.65,10.65,10.65,18.789.590
10/3/2020,11,11.5,10.85,11.4,11.4,15.369.250
9/3/2020,11.5,11.7,11.4,11.4,11.4,17.015.340
6/3/2020,12.1,12.4,12.1,12.25,12.25,12.112.750
5/3/2020,12.65,12.7,12.2,12.2,12.2,17.517.480
4/3/2020,12.2,12.6,12.1,12.5,12.5,12.613.500
3/3/2020,12.6,12.7,12.15,12.25,12.25,15.552.620
2/3/2020,11.8,12.4,11.75,12.35,12.35,27.550.640
28/02/2020,11.35,11.75,11.35,11.6,11.6,11.992.990
27/02/2020,11.3,11.7,11.15,11.65,11.65,13.069.630
26/02/2020,11,11.4,10.95,11.2,11.2,8.581.260
25/02/2020,10.7,11.15,10.7,11.15,11.15,5.918.600
24/02/2020,11,11.1,10.75,10.85,10.85,11.765.040
21/02/2020,11.25,11.5,11.2,11.3,11.3,7.650.810
20/02/2020,11.5,11.55,11.2,11.3,11.3,7.140.210
19/02/2020,11.4,11.55,11.3,11.4,11.4,6.843.570
18/02/2020,11.65,11.75,11.35,11.55,11.55,8.502.440
17/02/2020,11.65,11.85,11.5,11.65,11.65,8.914.870
14/02/2020,11.55,11.9,11.45,11.6,11.6,17.826.750
13/02/2020,11.5,11.6,11.3,11.5,11.5,7.807.880
12/2/2020,11.4,11.8,11.4,11.55,11.55,14.679.180
11/2/2020,10.95,11.45,10.9,11.35,11.35,14.652.800
10/2/2020,10.9,11.1,10.8,10.95,10.95,5.335.400
7/2/2020,11,11.45,10.95,11.15,11.15,14.963.660
6/2/2020,10.3,10.95,10.3,10.95,10.95,22.717.950
5/2/2020,10.35,10.45,10.25,10.25,10.25,3.967.950
4/2/2020,10.25,10.4,10.1,10.2,10.2,5.433.400
3/2/2020,10,10.4,9.82,10.25,10.25,7.105.100
31/01/2020,10.3,10.5,10.2,10.2,10.2,6.261.030
30/01/2020,10.8,10.8,10.2,10.35,10.35,8.264.520
22/01/2020,10.9,10.95,10.75,10.9,10.9,7.030.700
21/01/2020,10.7,11.05,10.7,10.9,10.9,7.604.200
20/01/2020,10.5,10.75,10.5,10.7,10.7,4.135.740
17/01/2020,10.45,10.7,10.4,10.6,10.6,6.094.750
16/01/2020,10.3,10.55,10.3,10.4,10.4,9.586.920
15/01/2020,10.3,10.35,10.2,10.25,10.25,2.479.650
14/01/2020,10.4,10.45,10.3,10.3,10.3,1.811.340
13/01/2020,10.5,10.55,10.3,10.4,10.4,3.420.120
10/1/2020,10.15,10.5,10.15,10.5,10.5,10.754.160
9/1/2020,10.1,10.2,10.05,10.15,10.15,2.443.480
8/1/2020,10.05,10.1,9.97,9.98,9.98,4.490.220
7/1/2020,10.05,10.15,10,10.15,10.15,2.154.970
6/1/2020,10.1,10.15,10,10.05,10.05,2.302.490
3/1/2020,10.25,10.3,10.15,10.2,10.2,1.975.250
2/1/2020,10.1,10.3,10,10.2,10.2,2.914.530
31/12/2019,10.1,10.2,10.05,10.05,10.05,1.831.670
30/12/2019,10.1,10.25,10.1,10.1,10.1,1.960.860
27/12/2019,10.1,10.2,10,10.15,10.15,2.014.010
26/12/2019,10.1,10.15,10,10.1,10.1,2.335.560
25/12/2019,10.2,10.25,10.1,10.1,10.1,1.538.440
24/12/2019,10.2,10.25,10.1,10.1,10.1,1.589.130
23/12/2019,10.1,10.3,10.1,10.2,10.2,3.527.120
20/12/2019,9.98,10.05,9.95,10,10,1.817.200
19/12/2019,10.05,10.05,9.9,9.93,9.93,3.065.800
18/12/2019,10,10.05,9.9,9.94,9.94,2.588.490
17/12/2019,10.1,10.1,9.99,10.05,10.05,2.601.130
16/12/2019,10.05,10.1,10,10.05,10.05,1.926.460
13/12/2019,10.15,10.2,10.05,10.05,10.05,1.561.390
12/12/2019,10.05,10.1,10,10.1,10.1,1.736.790
11/12/2019,10.05,10.1,9.95,10.05,10.05,1.077.810
10/12/2019,9.9,10.05,9.9,10.05,10.05,2.126.130
9/12/2019,10,10.05,9.92,9.95,9.95,1.920.020
6/12/2019,10,10.1,9.99,10,10,1.579.960
5/12/2019,10.1,10.15,9.99,10.05,10.05,1.044.220
4/12/2019,9.8,10.1,9.8,10.1,10.1,2.851.860
3/12/2019,10,10.05,9.75,9.75,9.75,3.603.780
2/12/2019,10.1,10.15,10,10,10,3.128.820
29/11/2019,10.15,10.2,10.05,10.1,10.1,2.180.183
28/11/2019,10.1,10.2,10.05,10.1,10.1,2.397.650
27/11/2019,10.2,10.25,10.1,10.1,10.1,2.201.930
26/11/2019,10.2,10.25,10.1,10.15,10.15,3.956.940
25/11/2019,10.3,10.3,10.1,10.15,10.15,2.030.840
22/11/2019,10.3,10.4,10.1,10.25,10.25,3.604.040
